# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr  4 16:08:10 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
# COLUMN st_nspec:       Number of Stellar Spectra Measurements
# COLUMN pl_ntranspec:   Number of Transmission Spectroscopy Measurements
#
loc_rowid,pl_name,hostname,pl_letter,discoverymethod,pl_orbper,pl_radj,pl_massj,pl_dens,pl_eqt,pl_ratror,rowupdate,pl_pubdate,releasedate,st_nspec,pl_ntranspec
23,1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,Imaging,,,8.00000,,1800,,2015-04-01,2010-08,2015-04-01,0,0
24,1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,Imaging,,1.664,8.00000,,1800,,2014-05-14,2008-12,2014-05-14,0,0
25,24 Boo b,24 Boo,b,Radial Velocity,30.35060000,,,,,,2018-04-25,2018-08,2018-04-26,0,0
26,24 Sex b,24 Sex,b,Radial Velocity,452.80000000,,,,,,2014-05-14,2011-01,2014-05-14,1,0
27,24 Sex c,24 Sex,c,Radial Velocity,883.00000000,,,,,,2014-05-14,2011-01,2014-05-14,1,0
28,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,b,Imaging,,,13.00000,,,,2020-09-08,2013-05,2020-09-03,0,0
29,2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,Imaging,,,24.50000,,,,2014-05-14,2013-09,2014-05-14,0,0
30,2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,Imaging,,1.000,,,1600,,2015-09-02,2015-05,2015-09-03,0,0
31,2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,Imaging,,1.440,13.90000,,,,2015-05-14,2015-06,2015-05-14,0,0
32,2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,Imaging,,,7.50000,,,,2014-05-14,2010-05,2014-05-14,0,0
33,2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,Imaging,,,5.00000,,1250,,2016-02-24,2004-10,2016-02-25,0,0
34,2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,Imaging,,,4.00000,,1150,,2014-05-14,2008-01,2014-05-14,0,0
35,2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,Eclipse Timing Variations,416.00000000,,1.90000,,,,2015-06-04,2015-05,2015-06-04,0,0
36,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,b,Imaging,7336.50000000,0.920,20.95000,,2075,,2014-05-14,2010-03,2014-05-14,0,0
37,2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,Imaging,,,12.50000,,,,2016-11-09,2017-01,2016-11-10,0,0
38,30 Ari B b,30 Ari B,b,Radial Velocity,335.10001000,,,,,,2018-09-04,2017-03,2018-09-06,0,0
39,30 Ari B b,30 Ari B,b,Radial Velocity,335.10000000,,,,,,2018-04-25,2009-12,2014-05-14,0,0
40,30 Ari B b,30 Ari B,b,Radial Velocity,345.40000000,,,,,,2018-04-25,2015-11,2015-12-03,0,0
41,4 UMa b,4 UMa,b,Radial Velocity,269.30000000,,,,,,2014-05-14,2007-09,2014-05-14,0,0
42,42 Dra b,42 Dra,b,Radial Velocity,479.10000000,,,,,,2014-05-14,2009-06,2014-05-14,0,0
43,47 UMa b,47 UMa,b,Radial Velocity,1076.60000000,,,,,,2016-01-27,2009-05,2016-01-28,3,0
44,47 UMa b,47 UMa,b,Radial Velocity,1083.20000000,,,,,,2014-09-18,2007-01,2014-09-18,3,0
45,47 UMa b,47 UMa,b,Radial Velocity,1100.80000000,,,,,,2014-08-21,2004-01,2014-08-21,3,0
46,47 UMa b,47 UMa,b,Radial Velocity,1078.00000000,,,,,,2014-05-14,2010-04,2014-05-14,3,0
47,47 UMa c,47 UMa,c,Radial Velocity,2391.00000000,,,,,,2014-05-14,2010-04,2014-05-14,3,0
48,47 UMa c,47 UMa,c,Radial Velocity,7586.00000000,,,,,,2014-09-18,2007-01,2014-09-18,3,0
49,47 UMa d,47 UMa,d,Radial Velocity,14002.00000000,,,,,,2014-05-14,2010-04,2014-05-14,3,0
50,51 Eri b,51 Eri,b,Imaging,,,2.00000,,700,,2019-07-08,2015-00,2015-08-14,0,0
51,51 Eri b,51 Eri,b,Imaging,11688.00000000,,,,,,2019-07-09,2019-04,2019-07-11,0,0
52,51 Eri b,51 Eri,b,Imaging,14965.00000000,,,,,,2019-07-08,2015-11,2015-12-03,0,0
53,51 Peg b,51 Peg,b,Radial Velocity,4.23100000,,0.46000,,,,2015-08-26,2015-04,2015-08-27,4,0
54,51 Peg b,51 Peg,b,Radial Velocity,4.23077000,,,,,,2014-08-21,2004-01,2014-08-21,4,0
55,51 Peg b,51 Peg,b,Radial Velocity,4.23078500,,,,,,2014-05-14,2006-07,2014-05-14,4,0
56,51 Peg b,51 Peg,b,Radial Velocity,4.22930000,,,,,,2016-11-01,1995-11,2016-11-03,4,0
57,55 Cnc b,55 Cnc,b,Radial Velocity,14.65100000,,,,,,2021-02-05,2012-11,2014-05-14,11,0
58,55 Cnc b,55 Cnc,b,Radial Velocity,14.60000000,,0.80000,,700,,2021-02-05,2015-04,2015-02-12,11,0
59,55 Cnc b,55 Cnc,b,Radial Velocity,14.67000000,,,,,,2021-02-05,2004-10,2016-10-13,11,0
60,55 Cnc b,55 Cnc,b,Radial Velocity,14.46531400,,0.84000,,,,2021-02-05,2014-06,2014-08-21,11,0
61,55 Cnc b,55 Cnc,b,Radial Velocity,14.65300000,,,,,,2021-02-05,2002-12,2016-10-06,11,0
62,55 Cnc b,55 Cnc,b,Radial Velocity,14.64700000,,,,,,2021-02-05,2004-01,2014-08-21,11,0
63,55 Cnc b,55 Cnc,b,Radial Velocity,14.65152000,,0.83060,,,,2021-02-05,2015-01,2014-10-29,11,0
64,55 Cnc b,55 Cnc,b,Radial Velocity,14.65162000,,,,,,2021-02-05,2008-03,2014-05-16,11,0
65,55 Cnc b,55 Cnc,b,Radial Velocity,14.65160000,,,,,,2021-02-05,2018-10,2021-02-11,11,0
66,55 Cnc b,55 Cnc,b,Radial Velocity,14.65126000,,,,,,2021-02-05,2009-03,2014-08-21,11,0
67,55 Cnc b,55 Cnc,b,Radial Velocity,14.64800000,,,,,,2021-02-05,1997-01,2016-11-10,11,0
68,55 Cnc c,55 Cnc,c,Radial Velocity,44.37870000,,,,,,2021-02-05,2009-03,2014-08-21,11,0
69,55 Cnc c,55 Cnc,c,Radial Velocity,44.41750000,,0.17140,,,,2021-02-05,2015-01,2014-10-29,11,0
70,55 Cnc c,55 Cnc,c,Radial Velocity,44.37300000,,0.17840,,,,2021-02-05,2014-06,2014-08-21,11,0
71,55 Cnc c,55 Cnc,c,Radial Velocity,44.39890000,,,,,,2021-02-05,2018-10,2021-02-11,11,0
72,55 Cnc c,55 Cnc,c,Radial Velocity,44.34460000,,,,,,2021-02-05,2008-03,2014-05-16,11,0
73,55 Cnc c,55 Cnc,c,Radial Velocity,43.93000000,,,,,,2021-02-05,2004-10,2016-10-13,11,0
74,55 Cnc c,55 Cnc,c,Radial Velocity,44.38000000,,,,,,2021-02-05,2012-11,2014-05-14,11,0
75,55 Cnc d,55 Cnc,d,Radial Velocity,4825.00000000,,3.87800,,,,2021-02-05,2015-01,2014-10-29,11,0
76,55 Cnc d,55 Cnc,d,Radial Velocity,5370.00000000,,,,,,2021-02-05,2009-03,2014-08-21,11,0
77,55 Cnc d,55 Cnc,d,Radial Velocity,4517.40000000,,,,,,2021-02-05,2004-10,2016-10-13,11,0
78,55 Cnc d,55 Cnc,d,Radial Velocity,4867.00000000,,3.86000,,,,2021-02-05,2014-06,2014-08-21,11,0
79,55 Cnc d,55 Cnc,d,Radial Velocity,4909.00000000,,,,,,2021-02-05,2012-11,2014-05-14,11,0
80,55 Cnc d,55 Cnc,d,Radial Velocity,4545.00000000,,,,,,2021-02-05,2004-01,2014-08-21,11,0
81,55 Cnc d,55 Cnc,d,Radial Velocity,5218.00000000,,,,,,2021-02-05,2008-03,2014-05-16,11,0
82,55 Cnc d,55 Cnc,d,Radial Velocity,5574.20000000,,,,,,2021-02-05,2018-10,2021-02-11,11,0
83,55 Cnc d,55 Cnc,d,Radial Velocity,5360.00000000,,,,,,2021-02-05,2002-12,2016-10-06,11,0
84,55 Cnc e,55 Cnc,e,Radial Velocity,,,,,,,2021-02-05,2020-07,2020-06-24,11,40
85,55 Cnc e,55 Cnc,e,Radial Velocity,2.79674000,,,,,,2021-02-05,2009-03,2014-08-21,11,40
86,55 Cnc e,55 Cnc,e,Radial Velocity,0.73655150,,0.02561,,,,2021-02-05,2015-01,2014-10-29,11,40
87,55 Cnc e,55 Cnc,e,Radial Velocity,2.80800000,,,,,,2021-02-05,2004-10,2016-10-13,11,40
88,55 Cnc e,55 Cnc,e,Radial Velocity,0.73654600,0.194,0.02600,4.50000,,,2021-02-05,2012-11,2014-05-16,11,40
89,55 Cnc e,55 Cnc,e,Radial Velocity,0.73654780,,0.02547,,,,2021-02-05,2014-06,2014-08-21,11,40
90,55 Cnc e,55 Cnc,e,Radial Velocity,0.73654000,0.178,0.02700,5.90000,,0.01950,2021-02-05,2011-08,2014-05-14,11,40
91,55 Cnc e,55 Cnc,e,Radial Velocity,0.73654740,0.167,0.02514,6.66000,,0.01820,2021-02-05,2018-10,2021-02-11,11,40
92,55 Cnc e,55 Cnc,e,Radial Velocity,0.73653900,0.170,0.02542,6.40000,,0.01870,2021-02-05,2016-04,2019-01-31,11,40
93,55 Cnc e,55 Cnc,e,Radial Velocity,0.73700000,0.169,0.02435,6.25000,,0.01821,2021-02-05,2019-09,2019-08-29,11,40
94,55 Cnc e,55 Cnc,e,Radial Velocity,,0.171,0.02542,6.30000,,0.01870,2021-02-05,2016-01,2016-01-21,11,40
95,55 Cnc e,55 Cnc,e,Radial Velocity,0.73654370,0.186,0.02457,4.78000,1958,0.02020,2021-02-05,2011-09,2015-12-03,11,40
96,55 Cnc e,55 Cnc,e,Radial Velocity,0.73654170,,,,,0.01936,2021-02-05,2014-09,2019-10-24,11,40
97,55 Cnc f,55 Cnc,f,Radial Velocity,260.91000000,,0.14790,,,,2021-02-05,2014-06,2014-08-21,11,0
98,55 Cnc f,55 Cnc,f,Radial Velocity,261.20000000,,,,,,2021-02-05,2012-11,2014-05-14,11,0
99,55 Cnc f,55 Cnc,f,Radial Velocity,260.70000000,,,,,,2021-02-05,2009-03,2014-08-21,11,0
100,55 Cnc f,55 Cnc,f,Radial Velocity,259.88000000,,,,,,2021-02-05,2018-10,2021-02-11,11,0
101,55 Cnc f,55 Cnc,f,Radial Velocity,260.00000000,,,,,,2021-02-05,2008-03,2014-05-16,11,0
102,55 Cnc f,55 Cnc,f,Radial Velocity,262.00000000,,0.14100,,,,2021-02-05,2015-01,2014-10-29,11,0
103,6 Lyn b,6 Lyn,b,Radial Velocity,934.30000000,,,,,,2018-12-03,2019-04,2018-12-06,0,0
104,6 Lyn b,6 Lyn,b,Radial Velocity,874.77400000,,,,,,2018-12-03,2010-01,2015-09-03,0,0
105,6 Lyn b,6 Lyn,b,Radial Velocity,899.00000000,,,,,,2018-12-03,2008-12,2014-08-21,0,0
106,61 Vir b,61 Vir,b,Radial Velocity,4.21500000,,,,,,2014-05-14,2010-01,2014-05-14,9,0
107,61 Vir c,61 Vir,c,Radial Velocity,38.02100000,,,,,,2014-05-14,2010-01,2014-05-14,9,0
108,61 Vir d,61 Vir,d,Radial Velocity,123.01000000,,,,,,2014-05-14,2010-01,2014-05-14,9,0
109,7 CMa b,7 CMa,b,Radial Velocity,763.00000000,,,,,,2019-10-18,2011-12,2014-05-14,0,0
110,7 CMa b,7 CMa,b,Radial Velocity,735.10000000,,,,,,2019-10-18,2019-11,2019-10-24,0,0
111,7 CMa b,7 CMa,b,Radial Velocity,796.00000000,,,,,,2019-10-18,2016-01,2015-10-22,0,0
112,7 CMa c,7 CMa,c,Radial Velocity,996.00000000,,,,,,2019-10-18,2019-11,2019-10-24,0,0
113,70 Vir b,70 Vir,b,Radial Velocity,116.68900000,,,,,,2018-12-03,2004-01,2014-08-21,2,0
114,70 Vir b,70 Vir,b,Radial Velocity,116.68840000,,,,,,2018-12-03,2017-03,2018-09-06,2,0
115,70 Vir b,70 Vir,b,Radial Velocity,116.68840000,,7.49000,,,,2018-12-03,2006-07,2014-05-14,2,0
116,70 Vir b,70 Vir,b,Radial Velocity,116.69260000,,,,,,2018-12-03,2015-06,2015-04-24,2,0
117,70 Vir b,70 Vir,b,Radial Velocity,116.68800000,,,,,,2018-12-03,2019-04,2018-12-06,2,0
118,75 Cet b,75 Cet,b,Radial Velocity,691.90000000,,,,,,2015-09-02,2012-12,2015-09-03,0,0
119,8 UMi b,8 UMi,b,Radial Velocity,93.40000000,,,,,,2018-04-25,2015-12,2015-10-15,0,0
120,8 UMi b,8 UMi,b,Radial Velocity,93.40000000,,,,,,2018-09-04,2017-03,2018-09-06,0,0
121,81 Cet b,81 Cet,b,Radial Velocity,,,,,,,2014-07-23,2011-08,2014-07-23,0,0
122,81 Cet b,81 Cet,b,Radial Velocity,952.70000000,,,,,,2014-05-14,2008-12,2014-05-14,0,0
123,91 Aqr b,91 Aqr,b,Radial Velocity,181.40000000,,,,,,2014-05-14,2013-07,2014-05-14,0,0
124,AB Pic b,AB Pic,b,Imaging,,,13.50000,,,,2014-05-14,2005-08,2014-05-14,0,0
125,AU Mic b,AU Mic,b,Transit,8.46321000,0.375,,4.40000,,0.05140,2020-06-12,2020-06,2020-06-24,1,0
126,BD+03 2562 b,BD+03 2562,b,Radial Velocity,481.90000000,,,,,,2017-06-13,2017-10,2017-06-15,0,0
127,BD+14 4559 b,BD+14 4559,b,Radial Velocity,268.94000000,,,,,,2018-04-25,2009-12,2014-05-14,0,0
128,BD+14 4559 b,BD+14 4559,b,Radial Velocity,268.94000000,,,,,,2018-09-04,2017-03,2018-09-06,0,0
129,BD+15 2375 b,BD+15 2375,b,Radial Velocity,153.22000000,,,,,,2016-02-03,2016-04,2016-02-04,0,0
130,BD+15 2940 b,BD+15 2940,b,Radial Velocity,137.48000000,,,,,,2014-05-14,2013-06,2014-05-14,0,0
131,BD+20 2457 b,BD+20 2457,b,Radial Velocity,379.63000000,,,,,,2018-04-25,2009-12,2014-05-14,0,0
132,BD+20 2457 b,BD+20 2457,b,Radial Velocity,379.63000000,,,,,,2018-09-04,2017-03,2018-09-06,0,0
133,BD+20 2457 c,BD+20 2457,c,Radial Velocity,621.99000000,,,,,,2014-05-14,2009-12,2014-05-14,0,0
134,BD+20 274 b,BD+20 274,b,Radial Velocity,578.20000000,,,,,,2015-09-16,2012-09,2015-09-18,0,0
135,BD+20 594 b,BD+20 594,b,Transit,41.68550000,0.230,0.07000,,,,2018-04-25,2017-03,2018-04-26,0,0
136,BD+20 594 b,BD+20 594,b,Transit,41.68550000,0.199,0.05129,7.89000,546,0.02204,2018-04-25,2016-10,2016-07-28,0,0
137,BD+20 594 b,BD+20 594,b,Transit,41.68864400,0.210,,,,0.02259,2018-02-15,2018-03,2018-02-15,0,0
138,BD+20 594 b,BD+20 594,b,Transit,41.68864400,0.210,,,,0.02259,2018-04-25,2018-03,2018-02-15,0,0
139,BD+48 738 b,BD+48 738,b,Radial Velocity,392.60000000,,,,,,2015-08-12,2012-01,2015-08-13,0,0
140,BD+48 740 b,BD+48 740,b,Radial Velocity,733.00000000,,,,,,2018-02-01,2018-05,2018-02-01,0,0
141,BD+49 828 b,BD+49 828,b,Radial Velocity,2590.00000000,,,,,,2015-02-05,2015-04,2015-02-05,0,0
142,BD-06 1339 b,BD-06 1339,b,Radial Velocity,3.87280000,,,,,,2014-05-14,2013-03,2014-05-14,0,0
143,BD-06 1339 c,BD-06 1339,c,Radial Velocity,125.94000000,,,,,,2014-05-14,2013-03,2014-05-14,0,0
144,BD-08 2823 b,BD-08 2823,b,Radial Velocity,5.60000000,,,,,,2018-09-04,2017-03,2018-09-06,0,0
145,BD-08 2823 b,BD-08 2823,b,Radial Velocity,5.60000000,,,,,,2018-04-25,2010-03,2014-05-14,0,0
146,BD-08 2823 c,BD-08 2823,c,Radial Velocity,237.60000000,,,,,,2014-05-14,2010-03,2014-05-14,0,0
147,BD-10 3166 b,BD-10 3166,b,Radial Velocity,3.48700000,,,,,,2018-04-25,2000-12,2014-08-27,0,0
148,BD-10 3166 b,BD-10 3166,b,Radial Velocity,3.48777000,,,,,,2018-04-25,2006-07,2014-08-27,0,0
149,BD-10 3166 b,BD-10 3166,b,Radial Velocity,3.48777000,,,,,,2018-09-04,2017-03,2018-09-06,0,0
150,BD-11 4672 b,BD-11 4672,b,Radial Velocity,1634.00000000,,,,,,2020-07-17,2020-06,2020-07-23,0,0
151,BD-11 4672 b,BD-11 4672,b,Radial Velocity,1667.00000000,,,,,,2020-07-17,2015-04,2015-01-08,0,0
152,BD-11 4672 c,BD-11 4672,c,Radial Velocity,74.20000000,,,,,,2020-07-17,2020-06,2020-07-23,0,0
153,BD-13 2130 b,BD-13 2130,b,Radial Velocity,714.30000000,,,,,,2018-04-25,2007-09,2015-05-14,0,0
154,BD-13 2130 b,BD-13 2130,b,Radial Velocity,714.29999000,,,,,,2018-09-04,2017-03,2018-09-06,0,0
155,BD-17 63 b,BD-17 63,b,Radial Velocity,655.59998000,,,,,,2019-09-04,2017-03,2018-09-06,1,0
156,BD-17 63 b,BD-17 63,b,Radial Velocity,655.60000000,,,,,,2019-09-04,2009-03,2014-05-14,1,0
157,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,b,Imaging,10037.50000000,,10.50000,,370,,2014-05-14,2011-10,2014-05-14,0,0
158,CHXR 73 b,CHXR 73,b,Imaging,,,12.56900,,,,2014-05-14,2006-10,2014-05-14,0,0
159,CI Tau b,CI Tau,b,Radial Velocity,8.98910000,,11.60000,,,,2019-06-19,2019-06,2019-06-27,0,0
160,CT Cha b,CT Cha,b,Imaging,,2.200,17.00000,,2600,,2014-05-14,2008-11,2014-05-14,0,0
161,CoRoT-1 b,CoRoT-1,b,Transit,1.50895570,1.480,1.13000,,,,2019-10-18,2010-02,2019-10-24,0,20
162,CoRoT-1 b,CoRoT-1,b,Transit,1.50896820,1.715,1.23000,0.30200,,,2019-03-18,2017-06,2019-03-21,0,20
163,CoRoT-1 b,CoRoT-1,b,Transit,1.50895570,1.490,1.03000,0.38000,1898,0.13880,2014-05-14,2008-05,2014-05-14,0,20
164,CoRoT-1 b,CoRoT-1,b,Transit,1.50896860,1.551,1.03000,0.34400,1915,,2016-01-12,2011-11,2016-01-14,0,20
165,CoRoT-1 b,CoRoT-1,b,Transit,1.50897655,1.420,1.07000,0.44000,1834,0.13810,2016-03-29,2016-06,2016-03-31,0,20
166,CoRoT-10 b,CoRoT-10,b,Transit,13.24060000,0.970,2.75000,3.70000,600,0.12690,2014-05-14,2010-09,2014-05-14,0,0
167,CoRoT-10 b,CoRoT-10,b,Transit,13.24060000,0.941,2.78000,4.16000,647,,2016-01-12,2011-11,2016-01-14,0,0
168,CoRoT-10 b,CoRoT-10,b,Transit,13.24060000,0.970,2.73000,3.69000,,,2019-03-18,2017-06,2019-03-21,0,0
169,CoRoT-11 b,CoRoT-11,b,Transit,2.99433000,1.426,2.34000,1.00000,1735,,2016-01-12,2011-11,2016-01-14,0,0
170,CoRoT-11 b,CoRoT-11,b,Transit,,,,,,0.09990,2014-08-21,2014-07,2014-08-21,0,0
171,CoRoT-11 b,CoRoT-11,b,Transit,2.99432500,1.430,2.62000,1.11000,,,2019-03-18,2017-06,2019-03-21,0,0
172,CoRoT-11 b,CoRoT-11,b,Transit,2.99432500,1.390,2.49000,0.93000,1715,,2019-10-18,2012-07,2019-10-24,0,0
173,CoRoT-11 b,CoRoT-11,b,Transit,2.99433000,1.430,2.33000,0.99000,1657,0.10700,2014-05-14,2010-12,2014-05-14,0,0
174,CoRoT-12 b,CoRoT-12,b,Transit,2.82804200,1.440,0.91500,0.38100,,,2019-03-18,2017-06,2019-03-21,0,0
175,CoRoT-12 b,CoRoT-12,b,Transit,2.82805268,1.344,0.87300,0.44700,1417,0.13140,2019-10-04,2019-02,2019-10-10,0,0
176,CoRoT-12 b,CoRoT-12,b,Transit,2.82804200,1.350,0.88700,0.44800,1410,,2016-01-12,2011-11,2016-01-14,0,0
177,CoRoT-12 b,CoRoT-12,b,Transit,2.82804200,1.440,0.91700,0.41100,1442,,2014-05-14,2010-09,2014-05-14,0,0
178,CoRoT-13 b,CoRoT-13,b,Transit,4.03519000,1.252,1.31200,0.82000,1432,,2016-01-12,2011-11,2016-01-14,0,0
179,CoRoT-13 b,CoRoT-13,b,Transit,4.03519000,0.885,1.30800,2.34000,1700,0.09090,2014-05-14,2010-11,2014-05-14,0,0
180,CoRoT-13 b,CoRoT-13,b,Transit,4.03519000,0.885,1.33100,2.38000,,,2019-03-18,2017-06,2019-03-21,0,0
181,CoRoT-14 b,CoRoT-14,b,Transit,1.51214000,1.090,7.42000,7.10000,,,2019-03-18,2017-06,2019-03-21,0,0
182,CoRoT-14 b,CoRoT-14,b,Transit,1.51214000,1.018,7.67000,9.00000,1936,,2016-01-12,2011-11,2016-01-14,0,0
183,CoRoT-14 b,CoRoT-14,b,Transit,1.51214000,1.090,7.60000,7.30000,1952,0.09250,2014-05-14,2011-04,2014-05-14,0,0
184,CoRoT-16 b,CoRoT-16,b,Transit,5.35227000,1.170,0.53500,0.44000,,0.10100,2014-05-14,2012-05,2014-05-14,0,0
185,CoRoT-16 b,CoRoT-16,b,Transit,5.35227000,1.170,0.52900,0.41000,,,2019-03-18,2017-06,2019-03-21,0,0
186,CoRoT-17 b,CoRoT-17,b,Transit,3.76810000,1.020,2.41000,2.81000,,,2019-03-18,2017-06,2019-03-21,0,0
187,CoRoT-17 b,CoRoT-17,b,Transit,3.76810000,1.007,2.46000,3.00580,1610,,2016-01-12,2012-10,2016-01-14,0,0
188,CoRoT-17 b,CoRoT-17,b,Transit,3.76810000,1.020,2.43000,2.82000,1626,,2014-05-14,2011-07,2014-05-14,0,0
189,CoRoT-18 b,CoRoT-18,b,Transit,1.90006930,1.310,3.46000,1.91000,,,2019-03-18,2017-06,2019-03-21,0,0
190,CoRoT-18 b,CoRoT-18,b,Transit,1.90006930,1.251,3.27000,2.07000,1490,,2016-01-12,2012-10,2016-01-14,0,0
191,CoRoT-18 b,CoRoT-18,b,Transit,1.90009000,1.146,3.30000,2.73000,1487,0.13310,2019-10-04,2019-02,2019-10-10,0,0
192,CoRoT-18 b,CoRoT-18,b,Transit,1.90006930,1.310,3.47000,2.20000,1550,0.13410,2019-12-02,2011-09,2014-05-14,0,0
193,CoRoT-19 b,CoRoT-19,b,Transit,3.89713000,1.290,1.11000,0.71000,2000,0.07860,2014-05-14,2012-01,2014-05-14,0,0
194,CoRoT-19 b,CoRoT-19,b,Transit,3.89713000,1.290,1.15500,0.66800,,,2019-03-18,2017-06,2019-03-21,0,0
195,CoRoT-19 b,CoRoT-19,b,Transit,3.89713000,1.190,1.09000,0.79800,1630,,2016-01-12,2012-10,2016-01-14,0,0
196,CoRoT-2 b,CoRoT-2,b,Transit,1.74299350,1.466,3.47000,1.47000,,,2014-05-14,2010-02,2014-05-14,0,0
197,CoRoT-2 b,CoRoT-2,b,Transit,1.74299673,,,,,0.16390,2015-10-21,2015-07,2015-10-22,0,0
198,CoRoT-2 b,CoRoT-2,b,Transit,1.74299750,1.414,3.31000,1.55300,1535,0.16100,2019-11-01,2019-06,2019-11-07,0,0
